ad_id,date,platform,campaign_name,spend,impressions,clicks,conversions
ad_1001,01-09-26,meta ads,Retargeting_Churn,99.88,10955,451,35
ad_1002,01-09-26,TikTok Ads,performance_max_q3,80,4451,269,5
ad_1003,01-09-26,meta ads,Retargeting_Churn,312.57,15849,184,13
ad_1004,01-09-26,meta ads,performance_max_q3,189.52,24356,583,56
ad_1005,02-09-26,TikTok Ads,Performance_Max_Q3,343.35,17622,1338,93
ad_1006,02-09-26,google ads,Retargeting_Churn,123.14,14570,767,32
ad_1007,02-09-26,Google Ads,performance_max_q3,99.3,9186,225,5
ad_1008,02-09-26,google ads,brand_awareness_2026,230.38,32867,2001,188
ad_1009,03-09-26,TikTok Ads,Retargeting_Churn,142.96,12248,363,13
ad_1010,03-09-26,TikTok Ads,Brand_Awareness_2026,17.66,1580,48,
ad_1011,04-09-26,Google Ads,Performance_Max_Q3,397.19,56651,3148,410
ad_1012,04-09-26,meta ads,brand_awareness_2026,56.75,6633,375,20
ad_1013,04-09-26,Meta Ads,Brand_Awareness_2026,197.63,26658,1613,85
ad_1014,04-09-26,Meta Ads,Brand_Awareness_2026,358.22,33648,811,66
ad_1015,05-09-26,meta ads,Retargeting_Churn,132.15,16592,431,
ad_1016,05-09-26,Meta Ads,Performance_Max_Q3,89,11642,632,78
ad_1017,06-09-26,Meta Ads,brand_awareness_2026,69.82,9822,285,5
ad_1018,06-09-26,TikTok Ads,Brand_Awareness_2026,159.34,16477,723,39
ad_1019,06-09-26,Meta Ads,Brand_Awareness_2026,207.88,15672,427,48
ad_1020,07-09-26,Google Ads,Brand_Awareness_2026,140.72,12820,157,16
ad_1021,07-09-26,google ads,Retargeting_Churn,249.83,18538,1057,53
ad_1022,08-09-26,TikTok Ads,performance_max_q3,491.88,64752,4266,367
ad_1023,08-09-26,TikTok Ads,Performance_Max_Q3,299.54,15473,709,73
ad_1024,08-09-26,meta ads,Brand_Awareness_2026,348.56,50078,982,34
ad_1025,08-09-26,google ads,Performance_Max_Q3,121.99,18080,834,124
ad_1026,09-09-26,meta ads,Retargeting_Churn,451.2,37857,1303,178
ad_1027,09-09-26,Google Ads,performance_max_q3,51.23,7164,375,
ad_1028,09-09-26,Google Ads,Performance_Max_Q3,487.1,39229,1725,257
ad_1029,10-09-26,meta ads,Brand_Awareness_2026,252.01,21835,1355,81
ad_1030,10-09-26,meta ads,Performance_Max_Q3,190.18,14149,1105,150
ad_1031,11-09-26,Meta Ads,brand_awareness_2026,181.54,21220,1495,126
ad_1032,11-09-26,meta ads,Performance_Max_Q3,0,1695,128,17
ad_1033,11-09-26,Meta Ads,performance_max_q3,17.57,1630,126,16
ad_1034,11-09-26,TikTok Ads,Retargeting_Churn,103.55,10202,368,47
ad_1035,12-09-26,google ads,brand_awareness_2026,134.54,11066,768,86
ad_1036,12-09-26,TikTok Ads,brand_awareness_2026,406.59,55583,4109,350
ad_1037,12-09-26,TikTok Ads,performance_max_q3,328.48,42564,3077,211
ad_1038,12-09-26,google ads,Performance_Max_Q3,238.14,18730,961,
ad_1039,13-09-26,Meta Ads,performance_max_q3,170.06,13120,1017,131
ad_1040,13-09-26,meta ads,Performance_Max_Q3,322.34,47572,2195,270
ad_1041,13-09-26,Meta Ads,performance_max_q3,374.58,25633,401,43
ad_1042,14-09-26,google ads,brand_awareness_2026,86.65,9091,545,30
ad_1043,14-09-26,TikTok Ads,Retargeting_Churn,309.74,23160,808,17
ad_1044,15-09-26,meta ads,Retargeting_Churn,56.14,8305,184,
